room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7133290,37361945,Shared room,SOUTH,CANYON MEADOWS,1,0.0,4,1.0,72.0,,50.947092,-114.084547,2017-03-11 04:30:48.032539
17642624,51074836,Shared room,NORTH,BEDDINGTON HEIGHTS,0,0.0,2,1.0,38.0,,51.129819,-114.095548,2017-03-11 04:30:45.811863
16272900,29122642,Shared room,SOUTH,SHAWNESSY,5,5.0,2,1.0,31.0,,50.90954,-114.073899,2017-03-11 04:30:45.795779
8596438,45239480,Shared room,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,1,1.0,381.0,,51.050347,-114.056722,2017-03-11 04:30:44.145911
8534791,25701705,Shared room,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,1,1.0,114.0,,51.048894,-114.055721,2017-03-11 04:30:39.649988
13559638,78118251,Shared room,CENTRE,BELTLINE,0,0.0,1,1.0,103.0,,51.040836,-114.060518,2017-03-11 04:30:38.263565
2684761,13742626,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,67.0,,51.05705,-114.084659,2017-03-11 04:30:36.745258
10969861,56909867,Shared room,NORTH,HUNTINGTON HILLS,0,0.0,1,1.0,69.0,,51.122787,-114.085223,2017-03-11 04:30:36.742760
8535592,44938274,Shared room,CENTRE,SHAGANAPPI,0,0.0,1,1.0,69.0,,51.041503,-114.129434,2017-03-11 04:30:36.736779
16405057,70807156,Shared room,CENTRE,BELTLINE,0,0.0,2,1.0,68.0,,51.042688,-114.083469,2017-03-11 04:30:36.729694
14067539,12702267,Shared room,CENTRE,CAPITOL HILL,0,0.0,1,1.0,76.0,,51.070515,-114.098982,2017-03-11 04:30:36.727506
12873350,70412272,Shared room,CENTRE,SOUTH CALGARY,0,0.0,2,1.0,76.0,,51.029443,-114.097833,2017-03-11 04:30:36.724725
8326661,943902,Shared room,NORTHWEST,CHARLESWOOD,0,0.0,1,1.0,42.0,,51.083494,-114.117746,2017-03-11 04:30:35.772908
1641717,37852,Shared room,CENTRE,CAPITOL HILL,6,5.0,1,1.0,43.0,,51.075676,-114.10466,2017-03-11 04:30:35.770707
9029677,41112148,Shared room,WEST,GLENBROOK,0,0.0,1,1.0,45.0,,51.021202,-114.150882,2017-03-11 04:30:35.768579
16652289,74229067,Shared room,NORTH,BEDDINGTON HEIGHTS,0,0.0,2,1.0,45.0,,51.129918,-114.079588,2017-03-11 04:30:35.765879
4075062,21134644,Shared room,SOUTH,SOUTHWOOD,0,0.0,1,1.0,31.0,,50.953467,-114.086028,2017-03-11 04:30:34.777673
8349663,39202671,Shared room,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,3,1.0,38.0,,51.046162,-114.052282,2017-03-11 04:30:34.774927
10795607,32275597,Shared room,CENTRE,POINT MCKAY,0,0.0,2,1.0,38.0,,51.059864,-114.143254,2017-03-11 04:30:34.772455
8312342,43811783,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,38.0,,51.057027,-114.079044,2017-03-11 04:30:34.770198
6646314,19920220,Shared room,CENTRE,RENFREW,2,0.0,1,1.0,30.0,,51.058449,-114.054017,2017-03-11 04:30:34.767929
3601913,11485957,Shared room,SOUTHEAST,CRANSTON,0,0.0,2,1.0,31.0,,50.876776,-113.975878,2017-03-11 04:30:34.763561
11401570,32267271,Shared room,NORTHWEST,ROCKY RIDGE,0,0.0,2,1.0,38.0,,51.138749,-114.241335,2017-03-11 04:30:34.759678
7011561,1549771,Shared room,CENTRE,BELTLINE,1,0.0,1,1.0,37.0,,51.039003,-114.061336,2017-03-11 04:30:34.756470
12651909,67109749,Shared room,NORTHWEST,CITADEL,0,0.0,1,1.0,29.0,,51.147579,-114.1882,2017-03-11 04:30:33.640723
8537885,44949498,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,0,0.0,1,1.0,23.0,,51.070668,-114.126121,2017-03-11 04:30:33.637708
8309964,43811783,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,38.0,,51.058567,-114.080468,2017-03-11 04:30:33.634021
11574737,1897738,Shared room,CENTRE,HILLHURST,0,0.0,1,1.0,27.0,,51.055642,-114.086034,2017-03-11 04:30:33.629946
8461821,44392790,Shared room,NORTHEAST,WHITEHORN,12,4.0,10,1.0,37.0,,51.092382,-113.974733,2017-03-11 04:30:33.627736
10943417,56744800,Shared room,NORTHWEST,ARBOUR LAKE,0,0.0,1,1.0,27.0,,51.130654,-114.22058,2017-03-11 04:30:33.623514
16271748,19867960,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,2,0.0,3,1.0,12.0,,51.070319,-114.126374,2017-03-11 04:30:33.618766
8576993,41112148,Shared room,WEST,GLENBROOK,2,0.0,1,1.0,22.0,,51.019642,-114.152973,2017-03-11 04:30:33.616257
10551962,38602460,Shared room,NORTHEAST,CITYSCAPE,2,0.0,2,1.0,11.0,,51.152696,-113.960074,2017-03-11 04:30:33.611882
7808579,19925437,Shared room,CENTRE,BRIDGELAND/RIVERSIDE,4,5.0,1,1.0,25.0,,51.05019,-114.049095,2017-03-11 04:30:33.609103
16961047,65588248,Shared room,NORTHWEST,DALHOUSIE,0,0.0,1,1.0,20.0,,51.106821,-114.152932,2017-03-11 04:30:33.607016
9777925,32423311,Shared room,CENTRE,RENFREW,0,0.0,1,1.0,33.0,,51.058931,-114.053109,2017-03-11 04:30:33.602858
9987616,49302742,Shared room,CENTRE,BELTLINE,11,4.0,1,1.0,20.0,,51.039175,-114.062983,2017-03-11 04:30:33.600875
6292642,32720220,Shared room,CENTRE,BELTLINE,0,0.0,1,1.0,31.0,,51.043065,-114.093871,2017-03-11 04:30:33.598726
10210771,33169703,Shared room,NORTHEAST,SKYVIEW RANCH,0,0.0,2,1.0,31.0,,51.155363,-113.966777,2017-03-11 04:30:33.595464
