room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
8966977,1203,31938253,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,45,5.0,2,0.0,,91.0,,2017-05-08 03:58:00.614981,51.048086,-114.057824,0101000020E6100000213B6F63B3835CC09EB29AAE27864940
16587072,1203,109371717,Entire home/apt,,Calgary,SOUTH,FISH CREEK PARK,2,0.0,4,2.0,,64.0,,2017-05-08 03:57:34.999925,50.926393,-114.043513,0101000020E6100000DBFCBFEAC8825CC0251FBB0B94764940
12251020,1203,58377771,Entire home/apt,,Calgary,NORTH,COVENTRY HILLS,0,0.0,5,3.0,,72.0,,2017-05-08 03:57:11.469499,51.161107,-114.063224,0101000020E6100000A114ADDC0B845CC00E1478279F944940
15924140,1203,103288442,Entire home/apt,,Calgary,WEST,PATTERSON,2,0.0,4,2.0,,68.0,,2017-05-08 03:56:48.246285,51.058628,-114.166929,0101000020E610000041F0F8F6AE8A5CC0A0504F1F81874940
16613447,1203,51409364,Entire home/apt,,Calgary,CENTRE,CHINATOWN,1,0.0,2,0.0,,75.0,,2017-05-08 03:56:38.358979,51.052185,-114.067127,0101000020E61000006E6B0BCF4B845CC0BF2B82FFAD864940
12246343,1203,33608938,Entire home/apt,,Calgary,CENTRE,CRESCENT HEIGHTS,52,4.5,6,2.0,,75.0,,2017-05-08 03:56:35.770784,51.058282,-114.055546,0101000020E61000001D5BCF108E835CC005F9D9C875874940
3402865,1203,17127765,Entire home/apt,,Calgary,NORTH,SAGE HILL,14,4.0,2,1.0,,61.0,,2017-05-08 03:56:09.823918,51.176809,-114.156262,0101000020E6100000E2E65432008A5CC0B95164ADA1964940
8780613,1203,42438891,Entire home/apt,,Calgary,NORTH,HIDDEN VALLEY,1,0.0,6,2.0,,60.0,,2017-05-08 03:56:09.816402,51.146934,-114.125336,0101000020E6100000BC40498105885CC0D255BABBCE924940
15803533,1203,102260870,Entire home/apt,,Calgary,NORTH,THORNCLIFFE,5,5.0,4,1.0,,53.0,,2017-05-08 03:56:01.246742,51.095969,-114.065358,0101000020E61000000C2252D32E845CC0043752B6488C4940
14763323,1203,54423099,Entire home/apt,,Calgary,NORTHEAST,SKYVIEW RANCH,2,0.0,4,1.0,,48.0,,2017-05-08 03:55:47.362192,51.159135,-113.95514,0101000020E61000007EC68503217D5CC0115322895E944940
14091334,1203,31114021,Entire home/apt,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,35,5.0,5,2.0,,55.0,,2017-05-08 03:55:37.604975,51.050271,-114.049879,0101000020E61000007670B03731835CC0F777B6476F864940
13107466,1203,72855647,Entire home/apt,,Calgary,SOUTHEAST,COPPERFIELD,12,4.5,4,2.0,,53.0,,2017-05-08 03:55:35.306675,50.924911,-113.932795,0101000020E6100000D4B7CCE9B27B5CC0F75AD07B63764940
16098419,1203,104937360,Entire home/apt,,Calgary,WEST,ROSSCARROCK,2,0.0,4,2.0,,61.0,,2017-05-08 03:55:32.296162,51.046302,-114.150533,0101000020E610000000FE2955A2895CC0A4DE5339ED854940
14711994,1203,54423099,Entire home/apt,,Calgary,NORTHEAST,SKYVIEW RANCH,11,5.0,4,1.0,,48.0,,2017-05-08 03:55:32.289505,51.160091,-113.954111,0101000020E61000003F709527107D5CC025B1A4DC7D944940
12294889,1203,66276382,Entire home/apt,,Calgary,NORTHWEST,DALHOUSIE,3,3.0,6,3.0,,61.0,,2017-05-08 03:55:32.281835,51.105954,-114.151622,0101000020E6100000AAD6C22CB4895CC0B07092E68F8D4940
12040506,1203,31089489,Entire home/apt,,Calgary,CENTRE,ROSEDALE,9,5.0,2,1.0,,53.0,,2017-05-08 03:55:31.301718,51.066909,-114.082047,0101000020E6100000096F0F4240855CC06F675F7990884940
12656950,1203,14274421,Entire home/apt,,Calgary,CENTRE,BELTLINE,32,5.0,3,2.0,,61.0,,2017-05-08 03:55:28.375515,51.037217,-114.054483,0101000020E610000008CC43A67C835CC078EDD286C3844940
16571092,1203,5308312,Entire home/apt,,Calgary,CENTRE,SUNNYSIDE,3,5.0,2,1.0,,44.0,,2017-05-08 03:55:26.994636,51.057039,-114.076777,0101000020E6100000710514EAE9845CC05CCCCF0D4D874940
5970556,1203,30994570,Entire home/apt,,Calgary,CENTRE,RENFREW,58,5.0,4,1.0,,59.0,,2017-05-08 03:55:25.538078,51.055045,-114.030271,0101000020E61000001AC1C6F5EF815CC07767EDB60B874940
12273923,1203,66120972,Entire home/apt,,Calgary,SOUTHEAST,AUBURN BAY,0,0.0,4,2.0,,37.0,,2017-05-08 03:55:12.327982,50.889572,-113.946292,0101000020E6100000DA1D520C907C5CC0FAB7CB7EDD714940
11302811,1203,59080765,Entire home/apt,,Calgary,NORTHEAST,REDSTONE,2,0.0,2,2.0,,38.0,,2017-05-08 03:55:12.320700,51.168926,-113.961194,0101000020E610000022C7D633847D5CC0D8B8FE5D9F954940
16298260,1203,51353816,Entire home/apt,,Calgary,EAST,FOREST LAWN,0,0.0,2,1.0,,38.0,,2017-05-08 03:55:11.010506,51.038373,-113.978811,0101000020E6100000C37DE4D6A47E5CC053060E68E9844940
9471881,1203,24748001,Entire home/apt,,Calgary,NORTHWEST,ROYAL OAK,75,5.0,3,1.0,,34.0,,2017-05-08 03:55:09.986639,51.14004,-114.232434,0101000020E61000009F1EDB32E08E5CC0E010AAD4EC914940
5958974,1203,30055236,Entire home/apt,,Calgary,NORTHWEST,ROYAL OAK,18,5.0,2,0.0,,37.0,,2017-05-08 03:55:09.978400,51.138952,-114.233593,0101000020E6100000C5E40D30F38E5CC05EDBDB2DC9914940
14693709,1203,1326871,Entire home/apt,,Calgary,CENTRE,BELTLINE,3,5.0,2,1.0,,38.0,,2017-05-08 03:55:08.294062,51.041548,-114.063945,0101000020E610000089EFC4AC17845CC06B9BE27151854940
8826028,1203,10083564,Entire home/apt,,Calgary,CENTRE,CRESCENT HEIGHTS,1,0.0,4,1.0,,38.0,,2017-05-08 03:55:08.286572,51.05503,-114.052702,0101000020E6100000C39B35785F835CC0422619390B874940
