room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8596438,45239480,Shared room,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,1,1.0,391.0,,51.050347,-114.056722,2017-02-12 05:48:13.073255
8534791,25701705,Shared room,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,1,1.0,117.0,,51.048894,-114.055721,2017-02-12 05:48:08.241817
13559638,78118251,Shared room,CENTRE,BELTLINE,0,0.0,1,1.0,103.0,,51.040836,-114.060518,2017-02-12 05:48:07.089095
2684761,13742626,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,69.0,,51.05705,-114.084659,2017-02-12 05:48:06.070682
10969861,56909867,Shared room,NORTH,HUNTINGTON HILLS,0,0.0,1,1.0,71.0,,51.122787,-114.085223,2017-02-12 05:48:06.068265
8535592,44938274,Shared room,CENTRE,SHAGANAPPI,0,0.0,1,1.0,71.0,,51.041503,-114.129434,2017-02-12 05:48:06.065356
14067539,12702267,Shared room,CENTRE,CAPITOL HILL,0,0.0,1,1.0,78.0,,51.070515,-114.098982,2017-02-12 05:48:06.062179
12873350,70412272,Shared room,CENTRE,SOUTH CALGARY,0,0.0,2,1.0,78.0,,51.029443,-114.097833,2017-02-12 05:48:06.059350
16405057,70807156,Shared room,CENTRE,BELTLINE,0,0.0,2,1.0,70.0,,51.042688,-114.083469,2017-02-12 05:48:06.056057
8326661,943902,Shared room,NORTHWEST,CHARLESWOOD,0,0.0,1,1.0,43.0,,51.083494,-114.117746,2017-02-12 05:48:04.856498
1641717,37852,Shared room,CENTRE,CAPITOL HILL,6,5.0,1,1.0,44.0,,51.075676,-114.10466,2017-02-12 05:48:04.854465
16652289,74229067,Shared room,NORTH,BEDDINGTON HEIGHTS,0,0.0,2,1.0,47.0,,51.129918,-114.079588,2017-02-12 05:48:04.852373
9029677,41112148,Shared room,WEST,GLENBROOK,0,0.0,1,1.0,47.0,,51.021202,-114.150882,2017-02-12 05:48:04.850048
7011561,1549771,Shared room,CENTRE,BELTLINE,1,0.0,1,1.0,38.0,,51.039003,-114.061336,2017-02-12 05:48:03.555521
4075062,21134644,Shared room,SOUTH,SOUTHWOOD,0,0.0,1,1.0,31.0,,50.953467,-114.086028,2017-02-12 05:48:03.552694
8349663,39202671,Shared room,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,3,1.0,39.0,,51.046162,-114.052282,2017-02-12 05:48:03.549984
8312342,43811783,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,39.0,,51.057027,-114.079044,2017-02-12 05:48:03.547840
10795607,32275597,Shared room,CENTRE,POINT MCKAY,0,0.0,2,1.0,39.0,,51.059864,-114.143254,2017-02-12 05:48:03.545654
12651909,67109749,Shared room,NORTHWEST,CITADEL,0,0.0,1,1.0,30.0,,51.147579,-114.1882,2017-02-12 05:48:03.540986
8309964,43811783,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,39.0,,51.058567,-114.080468,2017-02-12 05:48:03.538912
8537885,44949498,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,0,0.0,1,1.0,24.0,,51.070668,-114.126121,2017-02-12 05:48:03.535308
3601913,11485957,Shared room,SOUTHEAST,CRANSTON,0,0.0,2,1.0,31.0,,50.876776,-113.975878,2017-02-12 05:48:02.303643
16272774,29122642,Shared room,SOUTH,SHAWNESSY,0,0.0,1,1.0,15.0,,50.909396,-114.073919,2017-02-12 05:48:02.301451
11574737,1897738,Shared room,CENTRE,HILLHURST,0,0.0,1,1.0,28.0,,51.055642,-114.086034,2017-02-12 05:48:02.298730
7133290,37361945,Shared room,SOUTH,CANYON MEADOWS,1,0.0,4,1.0,35.0,,50.947092,-114.084547,2017-02-12 05:48:02.293725
11401570,32267271,Shared room,NORTHWEST,ROCKY RIDGE,0,0.0,2,1.0,39.0,,51.138749,-114.241335,2017-02-12 05:48:02.291107
6646314,19920220,Shared room,CENTRE,RENFREW,2,0.0,1,1.0,31.0,,51.058449,-114.054017,2017-02-12 05:48:02.288204
15903800,103169349,Shared room,NORTHWEST,VARSITY,0,0.0,1,1.0,20.0,,51.091618,-114.143931,2017-02-12 05:48:02.284317
10943417,56744800,Shared room,NORTHWEST,ARBOUR LAKE,0,0.0,1,1.0,28.0,,51.130654,-114.22058,2017-02-12 05:48:02.282121
10551962,38602460,Shared room,NORTHEAST,CITYSCAPE,1,0.0,2,1.0,11.0,,51.152696,-113.960074,2017-02-12 05:48:02.279591
9777925,32423311,Shared room,CENTRE,RENFREW,0,0.0,1,1.0,33.0,,51.058931,-114.053109,2017-02-12 05:48:02.276567
10210771,33169703,Shared room,NORTHEAST,SKYVIEW RANCH,0,0.0,2,1.0,31.0,,51.155363,-113.966777,2017-02-12 05:48:02.270733
16313741,29122642,Shared room,SOUTH,SHAWNESSY,0,0.0,1,1.0,15.0,,50.908432,-114.073741,2017-02-12 05:48:02.268140
8576993,41112148,Shared room,WEST,GLENBROOK,2,0.0,1,1.0,22.0,,51.019642,-114.152973,2017-02-12 05:48:02.264779
8461821,44392790,Shared room,NORTHEAST,WHITEHORN,12,4.0,10,1.0,38.0,,51.092382,-113.974733,2017-02-12 05:48:02.262301
13789812,80794094,Shared room,NORTHEAST,SKYVIEW RANCH,0,0.0,1,1.0,24.0,,51.1637,-113.962958,2017-02-12 05:48:02.259948
12094060,56410737,Shared room,CENTRE,SUNALTA,0,0.0,1,1.0,41.0,,51.041725,-114.094867,2017-02-12 05:48:02.256651
16585344,35128326,Shared room,SOUTHEAST,NEW BRIGHTON,0,0.0,1,1.0,20.0,,50.928241,-113.95786,2017-02-12 05:48:02.252409
13938096,82875595,Shared room,WEST,COACH HILL,2,0.0,2,1.0,39.0,,51.060825,-114.185765,2017-02-12 05:48:02.249152
7808579,19925437,Shared room,CENTRE,BRIDGELAND/RIVERSIDE,4,5.0,1,1.0,26.0,,51.05019,-114.049095,2017-02-12 05:48:00.896343
13959073,40826999,Shared room,WEST,GLENBROOK,0,0.0,2,1.0,24.0,,51.022285,-114.145264,2017-02-12 05:48:00.894152
9739037,10167140,Shared room,NORTHEAST,WHITEHORN,0,0.0,2,1.0,18.0,,51.0821,-113.979079,2017-02-12 05:48:00.891468
8656138,40791210,Shared room,CENTRE,HIGHLAND PARK,0,0.0,2,1.0,35.0,,51.081863,-114.054804,2017-02-12 05:48:00.888792
8565560,22307794,Shared room,CENTRE,BRIDGELAND/RIVERSIDE,0,0.0,1,1.0,31.0,,51.051669,-114.041518,2017-02-12 05:48:00.886774
15998554,52611622,Shared room,WEST,GLENBROOK,0,0.0,1,1.0,21.0,,51.029058,-114.161302,2017-02-12 05:48:00.884656
13251097,74528742,Shared room,SOUTH,SHAWNESSY,0,0.0,1,1.0,15.0,,50.91096,-114.07166,2017-02-12 05:48:00.882440
6292642,32720220,Shared room,CENTRE,BELTLINE,0,0.0,1,1.0,31.0,,51.043065,-114.093871,2017-02-12 05:48:00.880082
16271748,19867960,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,1,0.0,3,1.0,12.0,,51.070319,-114.126374,2017-02-12 05:48:00.876988
