room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12884614,48814118,Private room,SOUTHEAST,MCKENZIE TOWNE,0,,1,1.0,20.0,1.0,50.922035,-113.972364,2016-08-22 04:38:24.805056
5394900,27715982,Entire home/apt,CENTRE,HILLHURST,11,4.5,4,1.0,61.0,3.0,51.05143,-114.100279,2016-08-22 04:37:00.352856
13867042,68073273,Entire home/apt,CENTRE,TUXEDO PARK,9,5.0,4,2.0,70.0,,51.07604,-114.061153,2016-08-22 04:37:00.188188
14283866,22506106,Entire home/apt,CENTRE,CRESCENT HEIGHTS,1,,5,2.0,79.0,1.0,51.056451,-114.056499,2016-08-22 04:36:57.676695
11572267,60980498,Private room,SOUTH,MIDNAPORE,0,,1,1.0,48.0,1.0,50.909746,-114.052653,2016-08-22 04:36:55.184557
14166743,268,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,2,1.0,79.0,1.0,51.044425,-114.051994,2016-08-22 04:36:51.559267
10996253,3563134,Entire home/apt,CENTRE,BELTLINE,35,4.5,3,0.0,44.0,1.0,51.039685,-114.072434,2016-08-22 04:36:48.223361
1532983,8175696,Private room,CENTRE,TUXEDO PARK,5,3.5,1,1.0,33.0,3.0,51.079873,-114.062838,2016-08-22 04:36:37.301669
13116094,72946456,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,4,4.0,4,2.0,100.0,2.0,51.050596,-114.057158,2016-08-22 04:36:29.703517
10458203,34614520,Entire home/apt,NORTHEAST,SKYVIEW RANCH,0,,4,2.0,78.0,2.0,51.162015,-113.950834,2016-08-22 04:36:26.468664
13533934,24641496,Private room,CENTRE,POINT MCKAY,2,,2,1.0,39.0,1.0,51.060836,-114.146645,2016-08-22 04:36:13.235735
3262668,2060315,Entire home/apt,CENTRE,BELTLINE,1,,4,2.0,280.0,4.0,51.040256,-114.074243,2016-08-22 04:36:06.058413
14577797,61181204,Private room,CENTRE,CHINATOWN,0,,2,1.0,62.0,2.0,51.051491,-114.06634,2016-08-22 04:36:03.328232
12473846,19213384,Entire home/apt,CENTRE,BELTLINE,0,,2,1.0,468.0,1.0,51.042776,-114.077675,2016-08-22 04:36:00.634670
3303727,10174070,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,6,5.0,4,1.0,75.0,1.0,51.049794,-114.040309,2016-08-22 04:35:55.210847
