room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
11401570,1055,32267271,Shared room,,Calgary,NORTHWEST,ROCKY RIDGE,0,0.0,2,1.0,,38.0,,2017-04-10 12:35:23.384979,51.138749,-114.241335,0101000020E610000055185B08728F5CC025ADF886C2914940
8596438,1055,45239480,Shared room,,Calgary,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,1,1.0,,383.0,,2017-04-10 12:35:22.282438,51.050347,-114.056722,0101000020E6100000ADBD4F55A1835CC0D2393FC571864940
17865693,1055,89413176,Shared room,,Calgary,NORTHWEST,UNIVERSITY OF CALGARY,0,0.0,1,1.0,,196.0,,2017-04-10 12:35:20.665186,51.071771,-114.125759,0101000020E61000005F0B7A6F0C885CC08EE6C8CA2F894940
8534791,1055,25701705,Shared room,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,1,1.0,,115.0,,2017-04-10 12:35:17.673941,51.048894,-114.055721,0101000020E6100000D42CD0EE90835CC03D7C992842864940
13559638,1055,78118251,Shared room,,Calgary,CENTRE,BELTLINE,0,0.0,1,1.0,,103.0,,2017-04-10 12:35:16.879597,51.040836,-114.060518,0101000020E610000070B4E386DF835CC0EE3F321D3A854940
2684761,1055,13742626,Shared room,,Calgary,CENTRE,SUNNYSIDE,0,0.0,1,1.0,,68.0,,2017-04-10 12:35:15.954901,51.05705,-114.084659,0101000020E6100000F913950D6B855CC04F1E166A4D874940
10969861,1055,56909867,Shared room,,Calgary,NORTH,HUNTINGTON HILLS,0,0.0,1,1.0,,69.0,,2017-04-10 12:35:15.952381,51.122787,-114.085223,0101000020E61000007D772B4B74855CC0DEAF027CB78F4940
16405057,1055,70807156,Shared room,,Calgary,CENTRE,BELTLINE,0,0.0,2,1.0,,68.0,,2017-04-10 12:35:15.949246,51.042688,-114.083469,0101000020E6100000B54E5C8E57855CC040F7E5CC76854940
8535592,1055,44938274,Shared room,,Calgary,CENTRE,SHAGANAPPI,0,0.0,1,1.0,,69.0,,2017-04-10 12:35:15.946772,51.041503,-114.129434,0101000020E6100000643F8BA548885CC0CBD765F84F854940
14067539,1055,12702267,Shared room,,Calgary,CENTRE,CAPITOL HILL,0,0.0,1,1.0,,77.0,,2017-04-10 12:35:15.944429,51.070515,-114.098982,0101000020E6100000223999B855865CC05070B1A206894940
12873350,1055,70412272,Shared room,,Calgary,CENTRE,SOUTH CALGARY,0,0.0,2,1.0,,77.0,,2017-04-10 12:35:15.940732,51.029443,-114.097833,0101000020E61000000DDE57E542865CC04E0CC9C9C4834940
8326661,1055,943902,Shared room,,Calgary,NORTHWEST,CHARLESWOOD,0,0.0,1,1.0,,42.0,,2017-04-10 12:35:14.968347,51.083494,-114.117746,0101000020E610000007CF842689875CC0C4B46FEEAF8A4940
9029677,1055,41112148,Shared room,,Calgary,WEST,GLENBROOK,0,0.0,1,1.0,,46.0,,2017-04-10 12:35:14.964746,51.021202,-114.150882,0101000020E610000086E3F90CA8895CC00E4E44BFB6824940
16652289,1055,74229067,Shared room,,Calgary,NORTH,BEDDINGTON HEIGHTS,0,0.0,2,1.0,,46.0,,2017-04-10 12:35:14.961592,51.129918,-114.079588,0101000020E6100000DC4944F817855CC0B4942C27A1904940
16961047,1055,65588248,Shared room,,Calgary,NORTHWEST,DALHOUSIE,0,0.0,1,1.0,,20.0,,2017-04-10 12:35:13.595512,51.106821,-114.152932,0101000020E6100000C3A04CA3C9895CC054C37E4FAC8D4940
16271748,1055,19867960,Shared room,,Calgary,NORTHWEST,UNIVERSITY HEIGHTS,2,0.0,3,1.0,,12.0,,2017-04-10 12:35:13.592940,51.070319,-114.126374,0101000020E61000002444F98216885CC0CAA4863600894940
8349663,1055,39202671,Shared room,,Calgary,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,3,1.0,,38.0,,2017-04-10 12:35:13.589933,51.046162,-114.052282,0101000020E6100000D90A9A9658835CC0B328ECA2E8854940
6646314,1055,19920220,Shared room,,Calgary,CENTRE,RENFREW,2,0.0,1,1.0,,30.0,,2017-04-10 12:35:13.587663,51.058449,-114.054017,0101000020E6100000651BB80375835CC0F1BDBF417B874940
4075062,1055,21134644,Shared room,,Calgary,SOUTH,SOUTHWOOD,0,0.0,1,1.0,,31.0,,2017-04-10 12:35:13.583326,50.953467,-114.086028,0101000020E610000094A2957B81855CC05A68E7340B7A4940
8309964,1055,43811783,Shared room,,Calgary,CENTRE,SUNNYSIDE,0,0.0,1,1.0,,38.0,,2017-04-10 12:35:13.580774,51.058567,-114.080468,0101000020E6100000F817416326855CC0FACF9A1F7F874940
10795607,1055,32275597,Shared room,,Calgary,CENTRE,POINT MCKAY,0,0.0,2,1.0,,38.0,,2017-04-10 12:35:13.576598,51.059864,-114.143254,0101000020E61000005B41D3122B895CC0971AA19FA9874940
7011561,1055,1549771,Shared room,,Calgary,CENTRE,BELTLINE,1,0.0,1,1.0,,38.0,,2017-04-10 12:35:13.573439,51.039003,-114.061336,0101000020E61000005184D4EDEC835CC013B9E00CFE844940
8312342,1055,43811783,Shared room,,Calgary,CENTRE,SUNNYSIDE,0,0.0,1,1.0,,38.0,,2017-04-10 12:35:13.568636,51.057027,-114.079044,0101000020E61000007BBC900E0F855CC097FE25A94C874940
3601913,1055,11485957,Shared room,,Calgary,SOUTHEAST,CRANSTON,0,0.0,2,1.0,,31.0,,2017-04-10 12:35:13.563127,50.876776,-113.975878,0101000020E6100000B2B8FFC8747E5CC077F52A323A704940
8798650,1055,46026372,Shared room,,Calgary,NORTHWEST,UNIVERSITY HEIGHTS,2,0.0,4,1.0,,16.0,,2017-04-10 12:35:11.976187,51.071994,-114.134178,0101000020E6100000EF75525F96885CC00DC1711937894940
12651909,1055,67109749,Shared room,,Calgary,NORTHWEST,CITADEL,0,0.0,1,1.0,,29.0,,2017-04-10 12:35:11.973512,51.147579,-114.1882,0101000020E6100000DC4603780B8C5CC0C74961DEE3924940
7133290,1055,37361945,Shared room,,Calgary,SOUTH,CANYON MEADOWS,1,0.0,4,1.0,,35.0,,2017-04-10 12:35:11.971225,50.947092,-114.084547,0101000020E610000065FED13769855CC0D026874F3A794940
8461821,1055,44392790,Shared room,,Calgary,NORTHEAST,WHITEHORN,12,4.0,10,1.0,,38.0,,2017-04-10 12:35:11.968305,51.092382,-113.974733,0101000020E61000003F558506627E5CC09A5E622CD38B4940
11574737,1055,1897738,Shared room,,Calgary,CENTRE,HILLHURST,0,0.0,1,1.0,,27.0,,2017-04-10 12:35:11.965955,51.055642,-114.086034,0101000020E61000000516C09481855CC05B24ED461F874940
10210771,1055,33169703,Shared room,,Calgary,NORTHEAST,SKYVIEW RANCH,0,0.0,2,1.0,,31.0,,2017-04-10 12:35:11.963564,51.155363,-113.966777,0101000020E61000009961A3ACDF7D5CC015014EEFE2934940
8537885,1055,44949498,Shared room,,Calgary,NORTHWEST,UNIVERSITY HEIGHTS,0,0.0,1,1.0,,23.0,,2017-04-10 12:35:11.960582,51.070668,-114.126121,0101000020E6100000AF95D05D12885CC0D66F26A60B894940
13938096,1055,82875595,Shared room,,Calgary,WEST,COACH HILL,2,0.0,2,1.0,,38.0,,2017-04-10 12:35:11.958372,51.060825,-114.185765,0101000020E610000074EFE192E38B5CC0BDE3141DC9874940
7808579,1055,19925437,Shared room,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,4,5.0,1,1.0,,26.0,,2017-04-10 12:35:11.955942,51.05019,-114.049095,0101000020E61000006AD95A5F24835CC00A4B3CA06C864940
10943417,1055,56744800,Shared room,,Calgary,NORTHWEST,ARBOUR LAKE,0,0.0,1,1.0,,27.0,,2017-04-10 12:35:11.953347,51.130654,-114.22058,0101000020E6100000B58993FB1D8E5CC0B98B3045B9904940
8576993,1055,41112148,Shared room,,Calgary,WEST,GLENBROOK,2,0.0,1,1.0,,22.0,,2017-04-10 12:35:11.948600,51.019642,-114.152973,0101000020E6100000F20A444FCA895CC063D009A183824940
13789812,1055,80794094,Shared room,,Calgary,NORTHEAST,SKYVIEW RANCH,0,0.0,1,1.0,,23.0,,2017-04-10 12:35:11.945629,51.1637,-113.962958,0101000020E6100000FB5A971AA17D5CC0772D211FF4944940
17642624,1055,51074836,Shared room,,Calgary,NORTH,BEDDINGTON HEIGHTS,0,0.0,2,1.0,,38.0,,2017-04-10 12:35:11.940820,51.129819,-114.095548,0101000020E6100000AFCC5B751D865CC020B3B3E89D904940
17501061,1055,118581904,Shared room,,Calgary,NORTHEAST,REDSTONE,0,0.0,2,1.0,,15.0,,2017-04-10 12:35:11.938492,51.172349,-113.965317,0101000020E61000007651F4C0C77D5CC0C83F33880F964940
13959073,1055,40826999,Shared room,,Calgary,WEST,GLENBROOK,0,0.0,2,1.0,,23.0,,2017-04-10 12:35:11.929189,51.022285,-114.145264,0101000020E6100000505260014C895CC07E18213CDA824940
12094060,1055,56410737,Shared room,,Calgary,CENTRE,SUNALTA,0,0.0,1,1.0,,40.0,,2017-04-10 12:35:10.574807,51.041725,-114.094867,0101000020E61000000E9E094D12865CC07A36AB3E57854940
8565560,1055,22307794,Shared room,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,0,0.0,1,1.0,,31.0,,2017-04-10 12:35:10.572479,51.051669,-114.041518,0101000020E6100000800C1D3BA8825CC0C79BFC169D864940
6292642,1055,32720220,Shared room,,Calgary,CENTRE,BELTLINE,0,0.0,1,1.0,,31.0,,2017-04-10 12:35:10.569926,51.043065,-114.093871,0101000020E6100000BDC282FB01865CC0164D672783854940
17299271,1055,63779022,Shared room,,Calgary,CENTRE,ALTADORE,0,0.0,2,1.0,,27.0,,2017-04-10 12:35:10.564880,51.016964,-114.104333,0101000020E610000030B95164AD865CC0CC9A58E02B824940
9739037,1055,10167140,Shared room,,Calgary,NORTHEAST,WHITEHORN,0,0.0,2,1.0,,16.0,,2017-04-10 12:35:10.562647,51.0821,-113.979079,0101000020E6100000D34CF73AA97E5CC03480B740828A4940
8656138,1055,40791210,Shared room,,Calgary,CENTRE,HIGHLAND PARK,0,0.0,2,1.0,,35.0,,2017-04-10 12:35:10.559747,51.081863,-114.054804,0101000020E610000029ECA2E881835CC050E09D7C7A8A4940
16585344,1055,35128326,Shared room,,Calgary,SOUTHEAST,NEW BRIGHTON,0,0.0,1,1.0,,20.0,,2017-04-10 12:35:10.556846,50.928241,-113.95786,0101000020E6100000618907944D7D5CC036E7E099D0764940
13251097,1055,74528742,Shared room,,Calgary,SOUTH,SHAWNESSY,0,0.0,1,1.0,,15.0,,2017-04-10 12:35:10.554558,50.91096,-114.07166,0101000020E61000009B1BD31396845CC06AFB57569A744940
1259928,1055,6856130,Shared room,,Calgary,EAST,FOREST LAWN,70,4.5,1,1.0,,20.0,,2017-04-10 12:35:10.552213,51.042363,-113.977709,0101000020E61000005000C5C8927E5CC0BDC799266C854940
15998554,1055,52611622,Shared room,,Calgary,WEST,GLENBROOK,0,0.0,1,1.0,,20.0,,2017-04-10 12:35:10.549820,51.029058,-114.161302,0101000020E6100000E2B19FC5528A5CC0F5D72B2CB8834940
11556759,1055,61025204,Shared room,,Calgary,NORTHWEST,BRENTWOOD,8,4.5,1,1.0,,23.0,,2017-04-10 12:35:10.545349,51.107037,-114.137342,0101000020E610000081971936CA885CC0213B6F63B38D4940
10551962,1055,38602460,Shared room,,Calgary,NORTHEAST,CITYSCAPE,3,5.0,2,1.0,,13.0,,2017-04-10 12:35:10.542453,51.152696,-113.960074,0101000020E61000005BEF37DA717D5CC0711DE38A8B934940
13894423,1055,82307916,Shared room,,Calgary,CENTRE,BELTLINE,0,0.0,2,1.0,,31.0,,2017-04-10 12:35:10.540027,51.043285,-114.063401,0101000020E6100000286211C30E845CC024B4E55C8A854940
17754475,1055,60953551,Shared room,,Calgary,SOUTH,BRAESIDE,0,0.0,1,1.0,,14.0,,2017-04-10 12:35:10.537753,50.956855,-114.101036,0101000020E6100000FEEDB25F77865CC0CD0182397A7A4940
16272900,1055,29122642,Shared room,,Calgary,SOUTH,SHAWNESSY,5,5.0,2,1.0,,13.0,,2017-04-10 12:35:10.535528,50.90954,-114.073899,0101000020E6100000410DDFC2BA845CC0B13385CE6B744940
9987616,1055,49302742,Shared room,,Calgary,CENTRE,BELTLINE,11,4.0,1,1.0,,20.0,,2017-04-10 12:35:10.532249,51.039175,-114.062983,0101000020E61000000E4DD9E907845CC010E9B7AF03854940
17897812,1055,86624543,Shared room,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,2,1.0,,21.0,,2017-04-10 12:35:10.529994,51.046426,-114.083124,0101000020E6100000D06053E751855CC090D78349F1854940
