room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5280928,27339389,Private room,CENTRE,SUNNYSIDE,0,,2,1.0,35.0,1.0,51.056662,-114.079646,2016-10-28 01:23:54.709004
14655315,23274515,Private room,CENTRE,ST. ANDREWS HEIGHTS,3,5.0,1,1.0,49.0,7.0,51.062828,-114.129243,2016-10-28 01:23:50.875995
9326521,48406214,Private room,CENTRE,BELTLINE,47,5.0,2,1.0,41.0,1.0,51.041512,-114.087987,2016-10-28 01:23:44.148955
4651229,55155,Private room,CENTRE,MISSION,0,,2,1.0,96.0,1.0,51.029802,-114.067329,2016-10-28 01:23:28.479374
14360933,88058746,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,3,4.5,2,1.0,46.0,2.0,51.053558,-114.037678,2016-10-28 01:23:08.302342
13942584,82945111,Private room,SOUTHEAST,AUBURN BAY,0,,2,1.0,24.0,3.0,50.898764,-113.947554,2016-10-28 01:11:05.989555
14222205,86415252,Private room,NORTHWEST,SCENIC ACRES,4,5.0,2,1.0,50.0,1.0,51.11567,-114.217125,2016-10-28 01:10:48.319443
7274560,38086925,Entire home/apt,CENTRE,SUNALTA,5,4.5,5,3.0,74.0,7.0,51.042659,-114.105698,2016-10-28 01:10:37.110095
11676118,13819819,Private room,CENTRE,DOWNTOWN EAST VILLAGE,15,5.0,1,1.0,52.0,1.0,51.048542,-114.050634,2016-10-28 01:10:25.927713
3679410,4485387,Private room,CENTRE,BELTLINE,6,5.0,2,1.0,75.0,3.0,51.041122,-114.073072,2016-10-28 01:10:23.133519
12891617,22590039,Entire home/apt,NORTH,THORNCLIFFE,3,5.0,12,4.0,232.0,3.0,51.108058,-114.074066,2016-10-28 01:10:15.990163
13081656,3340363,Private room,CENTRE,BANKVIEW,0,,2,1.0,45.0,1.0,51.035957,-114.098459,2016-10-28 01:10:05.170654
5277989,9534122,Entire home/apt,CENTRE,BELTLINE,46,5.0,4,2.0,58.0,1.0,51.039717,-114.066453,2016-10-28 01:10:02.876447
12884614,48814118,Private room,SOUTHEAST,MCKENZIE TOWNE,0,,1,1.0,20.0,1.0,50.922035,-113.972364,2016-10-28 01:10:00.246419
11556759,61025204,Shared room,NORTHWEST,BRENTWOOD,8,4.5,1,1.0,23.0,1.0,51.107037,-114.137342,2016-10-28 01:09:48.719582
7985915,41228218,Private room,NORTHWEST,HAWKWOOD,0,,1,1.0,31.0,1.0,51.134717,-114.169051,2016-10-28 01:09:29.864243
4847667,24942975,Entire home/apt,CENTRE,BELTLINE,0,,2,1.0,115.0,1.0,51.04422,-114.085877,2016-10-28 01:09:27.012639
2576234,13192466,Entire home/apt,CENTRE,RAMSAY,14,4.5,2,1.0,97.0,,51.042337,-114.041326,2016-10-28 01:09:23.707869
12957345,9247383,Private room,CENTRE,CAPITOL HILL,0,,2,1.0,10.0,1.0,51.070369,-114.104246,2016-10-28 01:09:08.274428
10655237,54123335,Entire home/apt,CENTRE,BELTLINE,2,,5,2.0,193.0,3.0,51.037894,-114.059357,2016-10-28 01:09:03.462009
14183461,6786977,Private room,CENTRE,CLIFF BUNGALOW,0,,2,1.0,38.0,1.0,51.037095,-114.074685,2016-10-28 01:08:26.506436
8132079,42861088,Private room,SOUTH,KINGSLAND,0,,1,1.0,46.0,1.0,50.989563,-114.078033,2016-10-28 01:08:23.165539
8309432,43809295,Private room,CENTRE,DOWNTOWN WEST END,0,,1,1.0,93.0,5.0,51.04746,-114.087201,2016-10-28 01:08:20.490113
4564898,23662483,Entire home/apt,CENTRE,SHAGANAPPI,13,4.5,2,1.0,43.0,,51.038368,-114.125876,2016-10-28 01:08:13.541345
12508591,63816282,Private room,NORTHWEST,TUSCANY,15,5.0,1,1.0,23.0,1.0,51.137056,-114.244924,2016-10-28 01:08:06.135848
6914658,34573226,Private room,CENTRE,RENFREW,8,4.5,1,1.0,28.0,2.0,51.058211,-114.049669,2016-10-28 01:07:48.129474
13866342,14019363,Private room,CENTRE,TUXEDO PARK,3,4.5,2,1.0,31.0,1.0,51.081256,-114.055588,2016-10-28 01:07:42.387751
7291196,37995705,Entire home/apt,WEST,WEST SPRINGS,1,,2,1.0,97.0,7.0,51.062796,-114.190671,2016-10-28 01:07:25.700143
10361302,39281329,Shared room,CENTRE,MISSION,11,5.0,3,1.0,15.0,1.0,51.030738,-114.066666,2016-10-28 01:07:23.193085
15337129,97774953,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,3,4.5,4,2.0,73.0,2.0,51.05018,-114.055056,2016-10-28 01:07:10.278737
15131667,17563049,Entire home/apt,SOUTH,HAYSBORO,3,5.0,2,1.0,45.0,1.0,50.967906,-114.078782,2016-10-28 01:06:57.268922
