room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16272774,29122642,Shared room,SOUTH,SHAWNESSY,0,0.0,1,1.0,11.0,,50.909396,-114.073919,2016-12-09 17:59:53.327795
3601913,11485957,Shared room,SOUTHEAST,CRANSTON,0,0.0,2,1.0,31.0,,50.876776,-113.975878,2016-12-09 17:59:53.324934
16272900,29122642,Shared room,SOUTH,SHAWNESSY,0,0.0,2,1.0,13.0,,50.90954,-114.073899,2016-12-09 17:59:53.319106
10943417,56744800,Shared room,NORTHWEST,ARBOUR LAKE,0,0.0,1,1.0,27.0,,51.130654,-114.22058,2016-12-09 17:59:24.448429
13938096,82875595,Shared room,WEST,COACH HILL,2,0.0,2,1.0,39.0,,51.060825,-114.185765,2016-12-09 17:59:21.182709
12651909,67109749,Shared room,NORTHWEST,CITADEL,0,0.0,1,1.0,30.0,,51.147579,-114.1882,2016-12-09 17:59:10.260767
13335059,75501624,Shared room,NORTHWEST,BOWNESS,0,0.0,2,1.0,70.0,,51.095075,-114.212229,2016-12-09 17:59:09.127737
7133290,37361945,Shared room,SOUTH,CANYON MEADOWS,1,0.0,4,1.0,85.0,,50.947092,-114.084547,2016-12-09 17:58:58.275217
4075062,21134644,Shared room,SOUTH,SOUTHWOOD,0,0.0,1,1.0,31.0,,50.953467,-114.086028,2016-12-09 17:58:58.268854
8576993,41112148,Shared room,WEST,GLENBROOK,2,0.0,1,1.0,22.0,,51.019642,-114.152973,2016-12-09 17:58:46.464853
9029677,41112148,Shared room,WEST,GLENBROOK,0,0.0,1,1.0,46.0,,51.021202,-114.150882,2016-12-09 17:58:39.303391
13959073,40826999,Shared room,WEST,GLENBROOK,0,0.0,2,1.0,31.0,,51.022285,-114.145264,2016-12-09 17:58:28.057174
8535592,44938274,Shared room,CENTRE,SHAGANAPPI,0,0.0,1,1.0,70.0,,51.041503,-114.129434,2016-12-09 17:58:23.391760
2684761,13742626,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,69.0,,51.05705,-114.084659,2016-12-09 17:58:01.525229
11574737,1897738,Shared room,CENTRE,HILLHURST,0,0.0,1,1.0,27.0,,51.055642,-114.086034,2016-12-09 17:58:01.520258
14067539,12702267,Shared room,CENTRE,CAPITOL HILL,0,0.0,1,1.0,78.0,,51.070515,-114.098982,2016-12-09 17:57:53.127558
10795607,32275597,Shared room,CENTRE,POINT MCKAY,0,0.0,2,1.0,39.0,,51.059864,-114.143254,2016-12-09 17:57:53.122607
16271748,19867960,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,0,0.0,3,1.0,16.0,,51.070319,-114.126374,2016-12-09 17:57:53.115181
8537885,44949498,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,0,0.0,1,1.0,24.0,,51.070668,-114.126121,2016-12-09 17:57:53.112153
15903800,103169349,Shared room,NORTHWEST,VARSITY,0,0.0,1,1.0,20.0,,51.091618,-114.143931,2016-12-09 17:57:53.109037
8175134,43145479,Shared room,CENTRE,BELTLINE,9,4.5,1,1.0,35.0,,51.042813,-114.078306,2016-12-09 17:57:51.385184
8312342,43811783,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,39.0,,51.057027,-114.079044,2016-12-09 17:57:51.379058
10145940,52070680,Shared room,CENTRE,MISSION,0,0.0,3,1.0,46.0,,51.035673,-114.069257,2016-12-09 17:57:51.376117
8309964,43811783,Shared room,CENTRE,SUNNYSIDE,0,0.0,1,1.0,39.0,,51.058567,-114.080468,2016-12-09 17:57:51.364865
7011561,1549771,Shared room,CENTRE,BELTLINE,1,0.0,1,1.0,38.0,,51.039003,-114.061336,2016-12-09 17:57:44.270712
16245842,49590448,Shared room,CENTRE,BELTLINE,0,0.0,1,1.0,87.0,,51.039514,-114.069779,2016-12-09 17:57:44.264635
13559638,78118251,Shared room,CENTRE,BELTLINE,0,0.0,1,1.0,103.0,,51.040836,-114.060518,2016-12-09 17:57:44.260078
8349663,39202671,Shared room,CENTRE,DOWNTOWN EAST VILLAGE,0,0.0,3,1.0,81.0,,51.046162,-114.052282,2016-12-09 17:57:34.615712
8534791,25701705,Shared room,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,1,1.0,116.0,,51.048894,-114.055721,2016-12-09 17:57:34.611034
6646314,19920220,Shared room,CENTRE,RENFREW,2,0.0,1,1.0,31.0,,51.058449,-114.054017,2016-12-09 17:57:28.608053
