room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14284765,73214881,Private room,NORTHWEST,ARBOUR LAKE,16,5,2,1,28,1,51.139116,-114.204809,35:48.5
3410929,17198178,Entire home/apt,CENTRE,BELTLINE,0,,2,0,159,1,51.03866,-114.069495,31:04.4
8351795,15098443,Private room,CENTRE,RAMSAY,16,5,2,1,52,2,51.031688,-114.045527,25:44.0
4383647,22758997,Entire home/apt,CENTRE,RAMSAY,86,5,4,2,95,2,51.033107,-114.04803,25:40.5
10801124,21258369,Private room,WEST,ROSSCARROCK,25,4.5,2,1,29,1,51.03939,-114.143842,25:29.6
5916281,29711333,Private room,NORTHEAST,FALCONRIDGE,30,5,4,1,44,1,51.102028,-113.937122,25:21.9
14359693,29463160,Entire home/apt,NORTHWEST,ARBOUR LAKE,3,5,4,1,55,2,51.143136,-114.188877,25:12.8
2159077,3149904,Entire home/apt,CENTRE,CRESCENT HEIGHTS,0,,2,1,118,2,51.053612,-114.057184,25:11.9
3251078,14520053,Entire home/apt,CENTRE,BELTLINE,35,4.5,2,1,65,2,51.041039,-114.072112,25:08.6
14965226,80923647,Entire home/apt,CENTRE,EAU CLAIRE,0,,2,2,118,7,51.051828,-114.077266,25:05.9
6991892,36657640,Entire home/apt,CENTRE,BELTLINE,0,,2,2,256,1,51.042323,-114.05942,25:03.3
14442627,87936565,Entire home/apt,SOUTH,HAYSBORO,0,,2,1,46,1,50.975356,-114.073869,25:00.0
6187517,20673598,Entire home/apt,NORTH,THORNCLIFFE,12,4.5,15,7,244,,51.107412,-114.063278,24:58.4
2895780,9931937,Entire home/apt,CENTRE,BELTLINE,34,5,2,1,87,3,51.040427,-114.07144,24:57.4
14304616,87403295,Private room,WEST,GLAMORGAN,5,4.5,2,1,33,1,51.01174,-114.16008,24:50.7
12969711,70853665,Private room,SOUTHEAST,DOUGLASDALE/GLEN,0,,2,1,15,1,50.942013,-113.984895,24:37.1
9888864,38602460,Private room,NORTHEAST,CITYSCAPE,77,5,2,1,28,1,51.151323,-113.961546,24:28.8
7902642,41670227,Private room,CENTRE,BELTLINE,7,5,2,1,41,1,51.040339,-114.056932,24:27.6
13816377,81163107,Entire home/apt,CENTRE,BELTLINE,1,,4,2,118,2,51.042699,-114.085703,24:25.2
