room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
1393927,1326,5161218,Private room,,Calgary,NORTH,THORNCLIFFE,226,5.0,2,1.0,,24.0,,2017-06-10 03:48:03.971851,51.103157,-114.059494,0101000020E6100000BA13ECBFCE835CC03FADA23F348D4940
3361748,1326,12555601,Private room,,Calgary,CENTRE,BANKVIEW,25,5.0,2,1.0,,36.0,,2017-06-10 03:48:03.968970,51.030898,-114.096479,0101000020E61000000D7041B62C865CC083C13577F4834940
7613647,1326,4345521,Private room,,Calgary,CENTRE,RAMSAY,14,4.5,2,1.0,,29.0,,2017-06-10 03:48:03.964379,51.031211,-114.046959,0101000020E61000002F50526001835CC04223D8B8FE834940
5259399,1326,27222705,Private room,,Calgary,CENTRE,WEST HILLHURST,80,5.0,2,1.0,,34.0,,2017-06-10 03:48:03.961619,51.056942,-114.102914,0101000020E61000003C139A2496865CC069E21DE049874940
9326521,1326,48406214,Private room,,Calgary,CENTRE,BELTLINE,85,5.0,2,1.0,,37.0,,2017-06-10 03:48:03.957838,51.041512,-114.087987,0101000020E610000048DE3994A1855CC01E32E54350854940
16661005,1326,102922818,Private room,,Calgary,EAST,ALBERT PARK/RADISSON HEIGHTS,38,5.0,2,1.0,,27.0,,2017-06-10 03:48:03.955350,51.04141,-114.002499,0101000020E610000074D190F128805CC01ADD41EC4C854940
2245123,1326,11467460,Private room,,Calgary,CENTRE,KILLARNEY/GLENGARRY,34,5.0,2,1.0,,30.0,,2017-06-10 03:48:03.952233,51.036019,-114.136975,0101000020E6100000A857CA32C4885CC06F8445459C844940
6626903,1326,25817587,Private room,,Calgary,EAST,DOVER,26,5.0,2,1.0,,31.0,,2017-06-10 03:48:03.949153,51.019424,-114.000123,0101000020E61000008E3EE60302805CC0F660527C7C824940
18284867,1326,125725134,Private room,,Calgary,CENTRE,EAU CLAIRE,3,5.0,1,1.0,,38.0,,2017-06-10 03:48:03.945644,51.051244,-114.079118,0101000020E610000098A1F14410855CC0E00ED4298F864940
17383415,1326,110036491,Private room,,Calgary,NORTHEAST,TARADALE,30,5.0,2,1.0,,25.0,,2017-06-10 03:48:03.941699,51.113028,-113.94242,0101000020E61000002AC6F99B507C5CC022C495B3778E4940
14091625,1326,31221690,Private room,,Calgary,CENTRE,CRESCENT HEIGHTS,19,5.0,2,1.0,,28.0,,2017-06-10 03:48:03.937096,51.056944,-114.054505,0101000020E6100000FC1D8A027D835CC00ADAE4F049874940
