room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14202039,68073273,Entire home/apt,NORTHWEST,SCENIC ACRES,13,4.5,10,2.0,84.0,2.0,51.122658,-114.226247,2016-09-21 23:45:44.881849
9461225,18686660,Entire home/apt,CENTRE,BELTLINE,15,5.0,2,2.0,90.0,2.0,51.039811,-114.066765,2016-09-21 23:45:41.224945
3686394,2803707,Entire home/apt,SOUTH,CEDARBRAE,2,,4,2.0,62.0,3.0,50.958007,-114.140741,2016-09-21 23:45:36.285435
3361748,12555601,Private room,CENTRE,BANKVIEW,23,5.0,2,1.0,34.0,1.0,51.030898,-114.096479,2016-09-21 23:45:29.464847
13915275,75105282,Private room,NORTH,HUNTINGTON HILLS,3,4.5,2,1.0,25.0,1.0,51.121451,-114.081845,2016-09-21 23:45:26.567099
11212969,58410302,Entire home/apt,CENTRE,CHINATOWN,0,,2,1.0,77.0,1.0,51.052098,-114.067429,2016-09-21 23:45:23.876682
10157265,49380968,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,4,2.0,74.0,3.0,51.050162,-114.056558,2016-09-21 23:45:22.063307
14872866,79506707,Private room,NORTHEAST,CASTLERIDGE,0,,2,1.0,39.0,1.0,51.102339,-113.961554,2016-09-21 23:45:11.756914
6363811,27012473,Entire home/apt,SOUTH,CHINOOK PARK,25,5.0,2,1.0,74.0,2.0,50.983282,-114.090363,2016-09-21 23:44:52.481573
12094060,56410737,Shared room,CENTRE,SUNALTA,0,,1,1.0,40.0,1.0,51.041725,-114.094867,2016-09-21 23:44:45.140354
12966111,70732381,Private room,CENTRE,TUXEDO PARK,0,,2,1.0,34.0,2.0,51.074866,-114.059019,2016-09-21 23:44:42.191536
14790564,23274515,Private room,CENTRE,ST. ANDREWS HEIGHTS,0,,1,1.0,46.0,7.0,51.064445,-114.127788,2016-09-21 23:44:35.556985
9351993,46425404,Entire home/apt,NORTH,PANORAMA HILLS,0,,8,6.0,116.0,1.0,51.166161,-114.071271,2016-09-21 23:44:33.009118
11532720,31938253,Entire home/apt,SOUTH,CANYON MEADOWS,2,,4,2.0,94.0,2.0,50.936897,-114.077082,2016-09-21 23:44:24.896964
4602504,21682791,Private room,CENTRE,INGLEWOOD,20,5.0,2,1.0,39.0,1.0,51.032299,-114.018629,2016-09-21 23:44:12.752121
13431400,76262844,Private room,CENTRE,HIGHWOOD,0,,3,1.0,70.0,1.0,51.095953,-114.072565,2016-09-21 23:43:33.612003
7919785,446925,Private room,CENTRE,CRESCENT HEIGHTS,49,4.5,2,1.0,35.0,1.0,51.065506,-114.059223,2016-09-21 23:43:19.078941
3860883,19922847,Entire home/apt,CENTRE,MOUNT PLEASANT,1,,4,2.0,147.0,3.0,51.070887,-114.067849,2016-09-21 23:42:52.337775
13468235,44710523,Entire home/apt,CENTRE,BELTLINE,13,5.0,4,2.0,116.0,1.0,51.039073,-114.061525,2016-09-21 23:42:42.961122
15068321,95293666,Entire home/apt,CENTRE,RAMSAY,0,,5,3.0,109.0,2.0,51.034589,-114.041014,2016-09-21 23:42:40.432447
5058642,26120002,Entire home/apt,CENTRE,DOWNTOWN WEST END,6,5.0,4,2.0,113.0,2.0,51.046775,-114.085381,2016-09-21 23:42:32.672461
9044245,47194225,Shared room,NORTHEAST,RUNDLE,3,4.5,5,1.0,39.0,1.0,51.072736,-113.97431,2016-09-21 23:42:15.805358
222034,885992,Entire home/apt,SOUTH,SILVERADO,1,,6,3.0,234.0,3.0,50.884223,-114.071727,2016-09-21 23:42:01.831800
2944029,15027847,Entire home/apt,CENTRE,BELTLINE,28,5.0,2,1.0,74.0,2.0,51.043334,-114.07941,2016-09-21 23:41:55.103726
14747833,83708311,Entire home/apt,SOUTHEAST,CRANSTON,1,,3,2.0,46.0,1.0,50.88659,-113.971055,2016-09-21 23:41:34.463413
10188452,1459697,Entire home/apt,NORTHEAST,MAYLAND HEIGHTS,0,,2,1.0,39.0,1.0,51.055762,-114.013561,2016-09-21 23:41:14.426682
2242827,11455105,Private room,NORTHWEST,DALHOUSIE,0,,3,1.0,73.0,1.0,51.099686,-114.149932,2016-09-21 23:40:50.411000
5309203,1653776,Entire home/apt,CENTRE,ALTADORE,33,5.0,2,1.0,70.0,3.0,51.021513,-114.100066,2016-09-21 23:40:22.334530
9471881,24748001,Entire home/apt,NORTHWEST,ROYAL OAK,49,5.0,3,1.0,38.0,1.0,51.14004,-114.232434,2016-09-21 23:40:02.615170
13266245,42076529,Entire home/apt,CENTRE,BELTLINE,3,4.5,2,1.0,113.0,1.0,51.040035,-114.059275,2016-09-21 23:39:45.451369
13188607,43355604,Entire home/apt,CENTRE,BELTLINE,39,5.0,6,2.0,74.0,1.0,51.039938,-114.063635,2016-09-21 23:39:41.738292
12949766,71139665,Entire home/apt,CENTRE,BELTLINE,2,,2,2.0,95.0,1.0,51.038785,-114.06113,2016-09-21 23:39:33.688835
14872383,24200734,Private room,CENTRE,BELTLINE,0,,2,1.0,78.0,1.0,51.039868,-114.061121,2016-09-21 23:39:23.603683
6211284,13534780,Private room,CENTRE,BELTLINE,8,4.0,2,1.0,50.0,1.0,51.040445,-114.07654,2016-09-21 23:39:19.933473
13410797,45691223,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,0,,3,2.0,116.0,,51.055596,-114.039595,2016-09-21 23:39:16.388508
14340129,60953551,Private room,SOUTH,BRAESIDE,2,,1,1.0,18.0,5.0,50.956996,-114.102459,2016-09-21 23:39:00.921214
13513062,77575191,Entire home/apt,CENTRE,BELTLINE,0,,4,2.0,468.0,2.0,51.03932,-114.059691,2016-09-21 23:38:48.312201
2856140,14601538,Entire home/apt,CENTRE,HILLHURST,8,5.0,3,1.0,81.0,1.0,51.054786,-114.086459,2016-09-21 23:38:43.164524
14638220,87862742,Private room,NORTHWEST,ROCKY RIDGE,0,,2,1.0,31.0,2.0,51.150913,-114.255582,2016-09-21 23:38:40.699302
10189890,52334165,Entire home/apt,CENTRE,SOUTH CALGARY,8,5.0,2,1.0,55.0,5.0,51.030434,-114.101932,2016-09-21 23:38:15.182815
10636356,9534122,Entire home/apt,SOUTH,SUNDANCE,8,5.0,10,4.0,85.0,,50.89769,-114.03972,2016-09-21 23:37:58.530514
8351795,15098443,Private room,CENTRE,RAMSAY,16,5.0,2,1.0,50.0,2.0,51.031688,-114.045527,2016-09-21 23:37:53.881765
13333111,75472430,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,7,5.0,2,1.0,31.0,1.0,51.047974,-114.080139,2016-09-21 23:37:49.405472
13621812,12365039,Entire home/apt,CENTRE,RENFREW,1,,2,1.0,101.0,2.0,51.059212,-114.053003,2016-09-21 23:37:45.750022
15126898,95888031,Entire home/apt,WEST,GLAMORGAN,0,,4,2.0,58.0,1.0,51.011518,-114.151272,2016-09-21 23:37:39.638232
1818725,2060315,Entire home/apt,CENTRE,SUNALTA,60,4.5,2,1.0,49.0,3.0,51.042484,-114.102408,2016-09-21 23:37:36.345766
12917379,4383690,Private room,SOUTH,CANYON MEADOWS,0,,2,1.0,27.0,1.0,50.950257,-114.083129,2016-09-21 23:37:32.593622
2854192,14591836,Entire home/apt,NORTHWEST,EDGEMONT,41,4.5,8,2.0,125.0,1.0,51.128443,-114.14953,2016-09-21 23:37:30.689560
9605984,7271195,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,23,5.0,4,1.0,72.0,2.0,51.049631,-114.036906,2016-09-21 23:37:24.466709
13710319,1223629,Private room,SOUTH,SHAWNESSY,0,,1,1.0,19.0,1.0,50.907799,-114.067522,2016-09-21 23:37:18.021217
5271762,4443618,Private room,CENTRE,BANKVIEW,10,5.0,2,1.0,43.0,1.0,51.031213,-114.09779,2016-09-21 23:37:08.878693
11993135,64122716,Private room,CENTRE,BELTLINE,8,4.5,2,1.0,33.0,1.0,51.040527,-114.069161,2016-09-21 23:36:59.576661
15055484,95167109,Private room,SOUTHEAST,MCKENZIE TOWNE,0,,6,1.0,34.0,1.0,50.919741,-113.966546,2016-09-21 23:36:43.201650
12494428,12301728,Private room,CENTRE,RENFREW,53,5.0,2,1.0,39.0,1.0,51.064853,-114.048867,2016-09-21 23:36:40.616665
13379823,76013208,Entire home/apt,SOUTHEAST,MAHOGANY,4,5.0,4,1.0,53.0,3.0,50.902337,-113.920557,2016-09-21 23:36:37.765638
14486413,89375598,Entire home/apt,CENTRE,BELTLINE,4,5.0,4,2.0,85.0,2.0,51.041295,-114.065284,2016-09-21 23:36:35.161298
13506073,77494094,Entire home/apt,CENTRE,DOWNTOWN WEST END,3,4.0,2,1.0,77.0,3.0,51.049448,-114.083612,2016-09-21 23:36:32.364358
6062962,29591307,Private room,NORTHWEST,DALHOUSIE,3,4.0,1,1.0,27.0,1.0,51.115249,-114.172274,2016-09-21 23:36:25.121365
4531098,1187195,Private room,SOUTH,BRIDLEWOOD,4,5.0,2,1.0,35.0,1.0,50.902184,-114.101161,2016-09-21 23:36:15.754239
13980617,82956107,Private room,SOUTHEAST,MCKENZIE TOWNE,0,,2,1.0,74.0,2.0,50.91444,-113.966496,2016-09-21 23:35:51.595189
13377042,53728684,Private room,WEST,NORTH GLENMORE PARK,0,,1,1.0,63.0,2.0,51.007003,-114.11164,2016-09-21 23:35:36.899457
8864900,39771735,Private room,CENTRE,BELTLINE,35,5.0,2,1.0,38.0,1.0,51.043438,-114.090618,2016-09-21 23:35:31.256226
12542577,3551245,Private room,NORTHWEST,SCENIC ACRES,5,5.0,4,1.0,54.0,1.0,51.126764,-114.226161,2016-09-21 23:35:05.567876
6646314,19920220,Shared room,CENTRE,RENFREW,2,,1,1.0,31.0,1.0,51.058449,-114.054017,2016-09-21 23:34:56.222840
15133459,95954129,Entire home/apt,NORTH,EVANSTON,0,,4,2.0,45.0,,51.182183,-114.117631,2016-09-21 23:34:43.136946
14969269,91467442,Private room,NORTHWEST,HAMPTONS,0,,2,1.0,41.0,1.0,51.144648,-114.152019,2016-09-21 23:34:40.334803
